they will love;pokochają
read;czytają
magazine;czasopismo
What;co
week;tydzień
media;media
often;często
wrote;pisały
about;o
her;jej
romances;romansach
soon;wkrótce
people;ludzie
on;na
All;całym
world;świecie
could;mogli
this;to
see;obejrzeć
never;nigdy
no;nie
left;został
President;prezydentem
American;amerykański
government;rząd
It was;był
very;bardzo
weak;słaby
for;dla
Okay;dobra
the nation;narodu
everybody;wszyscy
Visitors;byli
loyal;lojalni
thomas;thomasowi
Jefferson;jeffersonowi
in;w
first;pierwszym
year;roku
presidency;prezydentury
Jefferson;jeffersona
decreased;zmniejszył
number;liczbę
ambassadors;ambasadorów
period;okres
great;wielkich
change;zmian
congress;kongres
accepted;przyjął
resolution;rezolucję
in;w
October;październiku
left;został
forced;zmuszony
down;do
resignation;rezygnacji
many;wiele
comments;uwagi
focused;skupił
on;na
policy;polityce
foreign;zagranicznej
negotiations;negocjacje
ended;zakończyły
himself;się
under;pod
end;koniec
year;roku
the largest;największa
party;partia
political;polityczna
in;w
bulgaria;bułgarii
he came;doszedł
down;do
power;władzy
in;w
result;wyniku
coup;zamachu
the state;stanu
army;armia
took;przejęła
authorities;władzę
Guinea-Bissau;gwinea-bissau
It has;ma
long;długą
story;historię
attacks;zamachów
the state;stanu
president;prezes
party;partii
embassy;ambasada
German;niemiec
no;nie
commented;skomentowała
statements;oświadczenia
zeman;zeman
will replace;zastąpi
eurosceptic;eurosceptyka
Vaclav;vaclava
Klaus;klausa
won;wygrał
next;następne
elections;wybory
traveled;podróżował
after;po
All;całym
able;stanie
picking;zbierając
support;poparcie
experts;eksperci
they gave;dawali
him;mu
small;małe
chances;szanse
in;w
first;pierwszym
vote;głosowaniu
Democrats;demokraci
they bought;kupowali
voices;głosy
this;tym
together;razem
they voted;zagłosowali
on;na
opposition;opozycję
we have;mamy
hope;nadzieję
on;na
change;zmianę
government;rządu
coalition;koalicja
received;uzyskała
133;133
with;z
222;222
seats;miejsc
in;w
parliament;parlamencie
41%;41%
voters;wyborców
have cast;oddało
your;swoje
voices;głosy
more than;ponad
250;250
observers;obserwatorów
monitors;monitoruje
course;przebieg
election;wyborów
parties;partie
broke;złamały
silence;ciszę
election;wyborczą
left;został
selected;wybrany
on;na
President;prezydenta
in;w
2009;2009
year;roku
Pakistanis;pakistańczycy
they are choosing;wybierają
parliament;parlament
former;były
Prime Minister;premier
won;wygrał
elections;wybory
presidential;prezydenckie
in;w
second;drugiej
round;turze
received;otrzymał
55%;55%
votes;głosów
war;wojna
Vietnamese;wietnamska
this;to
already;już
history;historia
future;przyszłość
the nation;narodu
drawing;rysuje
himself;się
brightly;jasno
war;wojny
religious;religijne
known;znane
as;jako
crusade;krucjaty
they founded;założyli
colonies;kolonie
trade;handlowe
in;w
africa;afryce
was;była
this;to
first;pierwsza
American;amerykańska
war;wojna
about;o
independence;niepodległość
battle;bitwa
about;o
quebec;quebec
was;była
point;punktem
return;zwrotnym
conflict;konfliktu
relationship;związek
Soviet;radziecki
disbanded;rozpadł
himself;się
in;w
1991;1991
this;to
it was;było
great;wielkie
event;wydarzenie
German;niemieccy
soldiers;żołnierze
They marched;przemaszerowali
through;przez
france;francję
France;francja
she stayed;została
forced;zmuszona
down;do
signing;podpisaniu
Treaty;traktatu
timor;timor
eastern;wschodni
It was;był
Portuguese;portugalską
Cologne;kolonią
one;jednym
with;z
Serbian;serbskich
allies;sojuszników
was;była
Russia;rosja
states;stany
united;zjednoczone
constant;stały
himself;się
superpower;mocarstwem
this;to
well;dobrze
paid;płatna
job;praca
unemployment;bezrobocie
is;jest
high;wysokie
thousands;tysiące
employees;pracowników
hotels;hoteli
lost;straciło
working;pracę
in;w
summer;lecie
he worked;pracował
as;jako
paramedic;ratownik
above;nad
river;rzeką
unemployment;bezrobocie
remains;pozostaje
on;na
level;poziomie
about;około
18%;18%
whites;biali
they have;mają
small;małe
chances;szanse
on;na
find;znalezienie
working;pracy
tried;próbował
found;znaleźć
working;pracę
he had;miał
issues;problemy
that;ze
finding;znalezieniem
working;pracy
because;bo
It was;był
black;czarny
millions;miliony
people;osób
ceased;przestały
look for;szukać
working;pracy
a lot;dużo
people;osób
lost;straciło
working;pracę
best;najlepiej
paid;płatną
working;pracę
they have;mają
managers;menedżerowie
unemployment;bezrobocie
increased;wzrosło
down;do
eighteen;osiemnastu
percent;procent
this;ta
job;praca
no;nie
He gave;dawała
him;mu
happiness;szczęścia
earned;zarabiał
little;mało
money;pieniędzy
earned;zarobiła
more than;ponad
million;milion
dollars;dolarów
inflation;inflacja
will;będzie
grew;rosła
no;nie
he paid;zapłacił
tax;podatku
income;dochodowego
everybody;wszyscy
must;muszą
pay;płacić
taxes;podatki
pay;zapłacą
behind;za
this;to
taxpayers;podatnicy
improves;poprawia
himself;się
situation;sytuacja
in;w
economy;gospodarce
American;amerykańska
economy;gospodarka
came out;wychodziła
with;z
recession;recesji
inflation;inflacja
and;i
unemployment;bezrobocie
former;były
low;niskie
feet;stopy
tax;podatkowe
grow;rosną
together;wraz
with;z
height;wysokością
earnings;zarobków
earnings;zarobki
below;poniżej
this;tej
the amount;kwoty
are;są
lower;niżej
taxed;opodatkowane
everybody;wszyscy
Americans;amerykanie
will be felt;odczują
increase;podwyżkę
taxes;podatków
cuts;cięcia
budgetary;budżetowe
reduce;redukują
costs;koszty
investors;inwestorów
worried;martwi
huge;ogromny
debt;dług
public;publiczny
Uruguay;urugwaj
received;otrzymał
loan;pożyczkę
rescue;ratunkową
no;nie
raise;podniesiemy
taxes;podatków
lies;tkwi
in;w
debts;długach
after;po
ears;uszy
we live;żyjemy
on;na
credit;kredyt
debt;dług
must;musi
stay;zostać
repaid;spłacony
no;nie
Visitors;byli
in;w
able;stanie
pay off;spłacać
loans;pożyczek
mortgage;hipotecznych
when;kiedy
banks;banki
fell;padały
people;ludzie
losing;tracili
all;wszystko
the biggest;największy
fall;upadek
bank;banku
in;w
history;historii
america;ameryki
once;raz
entered;weszła
in;w
conflict;konflikt
with;z
law;prawem
in;w
city;mieście
introduced;wprowadzono
hour;godzinę
police;policyjną
we have;musimy
observe;przestrzegać
rights;prawa
Police;policja
searched;przeszukała
her;jej
House;dom
erected;postawiono
her;jej
plea;zarzut
murder;zabójstwa
no;nie
turned;okazał
contrition;skruchy
after;po
Long;długim
hearing;przesłuchaniu
pressed;przyłożyła
gun;pistolet
down;do
neck;szyi
pilot;pilota
rape;gwałt
on;na
tourist's;turystce
attacks;napady
are;są
common;powszechnym
phenomenon;zjawiskiem
in;w
rio;rio
de;de
janeiro;janeiro
63-year-old;63-latek
left;został
included;ujęty
through;przez
French;francuskie
strength;siły
special;specjalne
arrested;zatrzymali
him;go
in;w
to;celu
hearing;przesłuchania
banned;zakazano
him;mu
leave;wyjeżdżać
with;z
cities;miasta
illegal;nielegalne
possession;posiadanie
weapon;broni
man;mężczyzna
It was;był
fivefold;pięciokrotnie
punished;karany
interrogated;przesłuchano
four;cztery
persons;osoby
Police;policja
she came;przyjechała
after;po
twenty;20
min;minutach
people;ludzie
take;biorą
justice;sprawiedliwość
in;w
your;swoje
hands;ręce
behind;za
offense;przestępstwo
threatens;grozi
penalty;kara
dying;śmierci
hour;godzina
Police;policyjna
she stayed;została
abolished;zniesiona
no;nie
passed;przeszła
test;testu
on;na
detector;wykrywaczu
lies;kłamstw
never;nigdy
anyone;nikogo
no;nie
we killed;zabiliśmy
establish;ustalić
facts;fakty
this;to
no;nie
Visitors;byli
police officers;policjanci
two;dwóch
police officers;policjantów
cropped;wyskoczyło
with;z
police car;radiowozu
two;dwóch
police officers;policjantów
entered;weszło
down;do
room;pokoju
murder;zabójstwa
remain;pozostają
unexplained;niewyjaśnione
no;nie
he knew;znał
Mercy;litości
appeared;wydawał
millions;miliony
dollars;dolarów
on;na
bribes;łapówki
He noted;zauważył
suspect;podejrzany
car;samochód
pointed;wycelowawszy
they opened;otworzyli
fire;ogień
It was;był
on;na
release;zwolnieniu
conditional;warunkowym
finished;skończył
with;z
career;karierą
criminal;przestępczą
he founded;założył
gang;gang
no;nie
he wanted;chciał
kill;zabić
human;człowieka
behind;za
murder;morderstwo
never;nigdy
anyone;nikogo
no;nie
hunted;ścigano
never;nigdy
anyone;nikogo
no;nie
killed;zabił
their;ich
days;dni
on;na
freedom;wolności
former;były
numbered;policzone
disappeared;zniknął
in;w
the crowd;tłumie
couple;para
she stayed;została
arrested;aresztowana
in;w
his;swoim
house;domu
in;w
Marburg;marburgu
heard;usłyszała
bake;pięć
shots;strzałów
his;jego
body;ciało
lay;leżało
on;na
street;ulicy
pushed;pchnęła
him;go
knife;nożem
judge;sędzia
aimed;wymierzył
him;mu
raw;surową
penalty;karę
President;prezydent
rejected;odrzucił
petition;petycję
about;o
pardon;ułaskawienie
no;nie
he had;miał
righteous;sprawiedliwego
process;procesu
prosecutors;prokuratorzy
they demanded;żądali
penalties;kary
eight;ośmiu
years;lat
deprivation;pozbawienia
freedom;wolności
process;proces
lasted;trwał
12;12
days;dni
he had;miał
two;dwa
processes;procesy
and;i
both;oba
won;wygrał
process;proces
lasted;trwał
nine;dziewięć
days;dni
cried;płakał
when;kiedy
read;odczytywano
judgment;wyrok
no;nie
allowed;pozwolono
him;mu
submit;złożyć
explanations;wyjaśnień
he proved;udowodnił
that;że
is;jest
innocent;niewinny
President;prezydent
created;utworzył
new;nowe
courts;sądy
appointed;mianował
new;nowych
judges;sędziów
soldiers;żołnierze
they stood;stanęli
before;przed
court;sądem
behind;za
murder;morderstwo
most;większość
with;z
them;nich
acquitted;uniewinniono
They received;otrzymali
gentle;łagodne
penalties;kary
judge;sędzia
heard;wysłuchał
arguments;argumentów
lawyers;prawników
both;obu
sites;stron
court;sąd
is;jest
independent;niezawisły
process;proces
left;został
moved;przeniesiony
pose;poza
moose;los
angeles;angeles
bench;ława
jury;przysięgłych
acquitted;uniewinniła
officers;oficerów
francisco;francisco
serving;odsiaduje
penalty;karę
behind;za
murder;zabójstwo
you can;możesz
reduce;skrócić
penalty;karę
if;jeżeli
you teach;uczysz
himself;się
and;i
working;pracujesz
I got;dostałem
seven;siedem
years;lat
behind;za
theft;kradzież
seven;siedmiu
fruit;owoców
mango;mango
never;nigdy
earlier;wcześniej
no;nie
I was;byłem
in;w
prison;więzieniu
I would like;chciałbym
exit;wyjść
with;z
prisons;więzienia
He tried;próbowała
escape;uciec
a few;kilka
times;razy
prison;więzienie
is;jest
divided;podzielone
on;na
9;9
blocks;bloków
serving;odsiaduje
penalty;karę
double;podwójnego
life imprisonment;dożywocia
women;kobiety
from;od
March;marca
staying;przebywają
in;w
custody;areszcie
he spent;spędził
18;18
months;miesięcy
in;w
prison;więzieniu
this;to
was;była
first;pierwsza
escape;ucieczka
from;od
40;40
years;lat
prison;więzienie
aroused;budziło
himself;się
it came;przyszło
after;po
him;niego
three;trzech
guards;strażników
Visitors;byli
free;wolni
everybody;wszyscy
prisoners;więźniowie
Visitors;byli
locked;zamknięci
in;w
for;celach
in;w
prison;więzieniu
It was;był
workshop;warsztat
cried;płakała
in;w
his;swojej
cell;celi
he spent;spędził
six;sześć
years;lat
in;w
prison;więzieniu
in;w
prison;więzieniu
stays;przebywa
838;838
convicted;skazanych
prisoners;więźniowie
they started;zaczęli
fight;walczyć
that;ze
together;sobą
prisoners;więźniowie
they demanded;żądali
improve;poprawy
conditions;warunków
prisoners;więźniowie
They took;przejęli
control;kontrolę
above;nad
prison;więzieniem
near;blisko
360;360
prisoners;więźniów
killed;zginęło
in;w
fire;pożarze
prisoner;więzień
he attacked;zaatakował
guard;strażnika
knife;nożem
prisoners;więźniowie
They took;przejęli
control;kontrolę
above;nad
part;częścią
prisons;więzienia
local;tutejsze
prisons;więzienia
this;to
bomb;bomba
clock;zegarowa
in;w
prisons;więzieniach
serving;odsiaduje
penalties;kary
about;około
13000;13000
prisoners;więźniów
rebellion;bunt
erupted;wybuchł
in;w
Monday;poniedziałek
they pushed;wepchnęli
him;go
down;do
cell;celi
served;odsiedziała
four;cztery
patch;lata
fight;walka
takes;trwa
and;i
will;będzie
permanent;trwała
soon;wkrótce
us;nas
destroy;zniszczą
two;dwa
raids;naloty
in;w
within;ciągu
48;48
hours;godzin
France;francja
withdrew;wycofała
100;100
with;z
4000;4000
soldiers;żołnierzy
declaration;deklaracja
meant;oznaczała
war;wojnę
all;wszystkie
planes;samoloty
safely;bezpiecznie
returned;wróciły
down;do
base;bazy
both;obie
page;strony
suffered;poniosły
serious;poważne
loss;straty
about;około
55;55
thousands;tysięcy
soldiers;żołnierzy
killed;poległo
or;lub
was;zostało
wounded;rannych
territory;terytorium
turkey;turcji
was;zostało
fired;ostrzelane
with;z
syria;syrii
french;francuzi
they had;mieli
base;bazy
military;wojskowe
in;w
Quebec;quebecu
and;i
Montreal;montrealu
fought;walczył
in;w
Dutch;holenderskim
motion;ruchu
resistance;oporu
Italians;włosi
no;nie
They wanted;chcieli
war;wojny
he lost;stracił
on;na
the war;wojnie
more than;ponad
twenty;dwudziestu
friends;przyjaciół
rebels;rebelianci
They took;przejęli
control;kontrolę
above;nad
big;dużą
part;częścią
cities;miasta
killed;zabito
100;100
people;osób
with;z
hostile;wrogiej
army;armii
France;francja
started;rozpoczęła
offensive;ofensywę
land;lądową
in;w
mali;mali
Islamic;islamscy
rebels;rebelianci
retook;odbili
Malian;malijskie
city;miasto
killing;zabijałem
our;naszych
enemies;wrogów
soldiers;żołnierze
they killed;zabili
about;około
1000;1000
people;osób
night;nocami
we have seen;widzieliśmy
flashes;błyski
artillery;artylerii
attack;natarcie
go;przejdzie
through;przez
the river;rzekę
above;powyżej
narrow;wąskiego
ravine;wąwozu
I am;jestem
very;bardzo
tired;zmęczony
this;tą
war;wojną
in;w
future;przyszłym
week;tygodniu
war;wojna
begins;zaczyna
himself;się
on;na
newly;nowo
ball;kula
stuck;utkwiła
in;w
muddy;błotnistym
slope;stoku
shaft;wału
fight;walki
himself;się
ended;zakończyły
next;następnej
night;nocy
He started;rozpoczął
himself;się
retreat;odwrót
orders;rozkazy
sound;brzmią
that;że
we have;mamy
here;tutaj
stay;zostać
gun;pistolet
no;nie
fired;wystrzelił
war;wojna
no;nie
It has;ma
end;końca
no;nie
It has;ma
Thread;nic
worse;gorszego
from;od
war;wojny
soon;zaraz
after;po
dawn;świcie
was;nastąpiło
next;następne
attack;natarcie
no;nie
they had;mieli
need;potrzeby
introduce;wprowadzać
confusion;zamętu
in;w
our;nasz
retreat;odwrót
war;wojny
no;nie
wins;wygrywa
himself;się
victory;zwycięstwem
we had;mieliśmy
command;rozkaz
wearing;noszenia
steel;stalowych
helmets;hełmów
no;nie
you can;możesz
U.S;nam
command;rozkazywać
no;nie
succeeded;udało
himself;się
get;zdobyć
mountains;gór
behind;za
river;rzeką
soldiers;żołnierze
they came;przyszli
and;i
they burned;spalili
our;nasze
houses;domy
soldiers;żołnierze
They responded;odpowiedzieli
fire;ogniem
Azerbaijan;azerbejdżan
and;i
Armenia;armenia
fought;stoczyły
brutal;brutalną
war;wojnę
shortbread;kruche
suspension;zawieszenie
weapon;broni
they defended;bronili
his;swojej
fatherland;ojczyzny
rocket;rakieta
hit;trafiła
in;w
objective;cel
signed;podpisali
treaty;traktat
ending;kończący
Thirty;trzydziestoletnią
war;wojnę
operation;operacja
ended;zakończyła
himself;się
failure;niepowodzeniem
british;brytyjczycy
beat;pokonali
Frenchmen;francuzów
explosion;wybuch
wounded;zranił
one;jednego
soldier;żołnierza
down;do
explosion;eksplozji
there;doszło
10;10
meters;metrów
from;od
point;punktu
control;kontrolnego
booby trap;miny-pułapki
this;to
favorite;ulubiona
weapon;broń
Taliban;talibów
car bomb;samochód-pułapka
erupted;wybuchł
in;w
Nearby;pobliżu
convoy;konwoju
none;żadna
with;z
groups;grup
no;nie
granted;przyznała
himself;się
down;do
Sunday;niedzielnego
attack;ataku
bomb;bomba
she stayed;została
disarmed;rozbrojona
planted;podłożyli
him;mu
bomb;bombę
under;pod
car;samochód
they took;wzięli
many;wielu
hostages;zakładników
extremists;ekstremiści
no;nie
They wanted;chcieli
negotiate;negocjować
no;nie
They wanted;chcieli
release;wypuścić
hostages;zakładników
nineteen;dziewiętnastu
terrorists;terrorystów
kidnapped;porwało
four;cztery
planes;samoloty
five;pięciu
hijackers;porywaczy
took;przejęło
control;kontrolę
above;nad
plane;samolotem
axis;oś
bad;zła
militants;bojówkarze
They attacked;atakowali
soldiers;żołnierzy
coalition;koalicji
left;został
convicted;skazany
on;na
death;śmierć
behind;za
espionage;szpiegostwo
left;został
transformed;zwerbowany
through;przez
kgb;kgb
It was;był
Soviet;sowieckim
spy;szpiegiem
connect;nawiązać
contact;kontakt
with;z
other;innymi
spies;szpiegami
he;on
no;nie
is;jest
spy;szpiegiem
Russia;rosja
expelled;wydaliła
worker's;pracownika
embassy;ambasady
USA;usa
President;prezydent
lech;lech
kaczynski;kaczyński
killed;zginął
in;w
crash;katastrofie
aviation;lotniczej
plane;samolot
crashed;rozbił
himself;się
in;w
Nearby;pobliżu
airports;lotniska
pilots;piloci
They ignored;ignorowali
command;polecenia
inspection;kontroli
motion;ruchu
air;lotniczego
I saw;widziałam
how;jak
plane;samolot
hooked;zahaczył
about;o
tree;drzewo
plane;samolot
he approached;podchodził
down;do
landing;lądowania
plane;samolot
disbanded;rozpadł
himself;się
on;na
two;dwie
parts;części
plane;samolot
disappeared;zniknął
with;z
radar;radarów
50;50
minutes;minut
after;po
encounter;starcie
cause;przyczyna
disaster;katastrofy
no;nie
is;jest
yet;jeszcze
known;znana
died;zginęły
all;wszystkie
153;153
persons;osoby
on;na
board;pokładzie
plane;samolot
disappeared;zniknął
with;z
screens;ekranów
radar;radarów
remote;pilot
he lost;stracił
control;kontrolę
and;i
hit;uderzył
in;w
Earth;ziemię
plane;samolot
he had;miał
more than;ponad
27;27
years;lat
the worst;najgorsza
a disaster;katastrofa
air;lotnicza
in;w
history;historii
pakistan;pakistanu
plane;samolot
is;jest
completely;doszczętnie
destroyed;zniszczony
Main;główną
cause;przyczyną
disaster;katastrofy
It was;był
error;błąd
pilot;pilota
high;wysokie
dose;dawki
radiation;promieniowania
relationship;związek
between;między
cancer;rakiem
thyroid;tarczycy
and;a
radiation;promieniowaniem
leakage;wyciek
water;wody
radioactive;radioaktywnej
tall;wysoki
level;poziom
radiation;promieniowania
small;małe
amounts;ilości
plutonium;plutonu
jump out;wyskoczyć
with;z
moving;jadącego
train;pociągu
two;dwa
trains;pociągi
collided;zderzyły
himself;się
in;w
southern;południowej
poland;polsce
train;pociąg
was;znajdował
himself;się
on;na
wrong;niewłaściwym
the track;torze
train;pociąg
derailed;wykoleił
himself;się
three;trzy
wagons;wagony
came out;wypadły
with;z
hydrocarbons;dorów
first;pierwszy
car;wagon
left;został
completely;całkowicie
destroyed;zniszczony
avalanche;lawina
mud;błotna
caused;spowodowała
derailment;wykolejenie
himself;się
train;pociągu
two;dwa
trains;pociągi
suburban;podmiejskie
collided;zderzyły
himself;się
near;niedaleko
halle;halle
threw;rzucało
us;nami
through;przez
about;około
15;15
seconds;sekund
we have seen;widzieliśmy
corpse;zwłoki
victims;ofiar
lying;leżące
at;przy
tracks;torach
wave;fala
wiped out;zmiotła
him;go
with;z
deck;pokładu
situation;sytuacja
himself;się
worsens;pogarsza
Hello;część
wounded;rannych
is;jest
in;w
able;stanie
critical;krytycznym
people;ludzie
they need;potrzebują
help;pomocy
no one;nikt
no;nie
know;wie
What;co
himself;się
happened;stało
with;z
his;jego
wife;żoną
evacuated;ewakuowani
they were;zostali
temporarily;tymczasowo
accommodated;zakwaterowani
in;w
School;szkole
that;ze
reasons;względów
safety;bezpieczeństwa
no;nie
noticed;odnotowano
damage;zniszczeń
on;na
place;miejsce
left;zostały
sent;wysłane
crew;ekipy
rescue;ratunkowe
snow;śnieg
made it difficult;utrudniał
campaign;akcję
rescue;ratunkową
request;prośba
about;o
help;pomoc
Turkey;turcja
earlier;wcześniej
She rejected;odrzuciła
Israeli;izraelską
offer;ofertę
help;pomocy
danger;niebezpieczeństwo
no;nie
It passed;minęło
people;ludzie
run;biegają
Cry;płaczą
and;i
they are screaming;krzyczą
no;nie
It has;ma
current;prądu
no;nie
act;działają
phones;telefony
no;nie
can;mogą
found;znaleźć
their;swoich
kids;dzieci
no one;nikt
no;nie
survivor;przeżył
this;tej
disaster;katastrofy
we're;jesteśmy
united;zjednoczeni
in;w
faced;obliczu
tragedy;tragedii
no;żaden
with;z
us;nas
no;nie
could;mógł
believe;uwierzyć
in;w
this;to
What;co
himself;się
happened;stało
full;pełna
list;lista
victims;ofiar
heard;słyszeliśmy
a powerful;potężną
explosion;eksplozję
some;niektóre
kids;dzieci
lost;straciły
in;w
tragedy;tragedii
their;swoich
parents;rodziców
number;liczba
victims;ofiar
maybe;może
increase;wzrosnąć
destruction;zniszczenia
are;są
huge;ogromne
this;to
It was;był
nightmare;koszmar
evacuation;ewakuacja
threatened;zagrożonych
areas;obszarów
Advanced;zaawansowane
systems;systemy
warning;ostrzegania
hospitals;szpitale
call;apelują
down;do
people;ludzi
about;o
donation;oddawanie
blood;krwi
two;dwie
persons;osoby
died;zginęły
and;a
14;14
was;zostało
wounded;rannych
six;sześć
with;z
thirteen;trzynastu
wagons;wagonów
derailed;wykoleiło
himself;się
three;trzy
persons;osoby
died;zmarły
in;w
way;drodze
down;do
hospital;szpitala
I lost;straciłem
all;wszystko
system;system
early;wczesnego
warning;ostrzegania
I went out;wyszedłem
and;i
no;nie
I could;mogłem
believe;uwierzyć
in;w
this;to
What;co
I saw;zobaczyłem
most;większość
wounded;rannych
she stayed;została
transported;przewieziona
down;do
hospital;szpitala
number;liczba
victims;ofiar
maybe;może
increase;wzrosnąć
survivors;przeżyli
disaster;katastrofę
sea;morską
building;budynek
crashed;runął
how;jak
house;domek
with;z
cards;kart
share;akcja
rescue;ratunkowa
was;była
continued;kontynuowana
in;w
night;nocy
most;większość
victims;ofiar
this;to
workers;robotnicy
Construction;budowlani
rescuers;ratownicy
no;nie
They arrived;przybyli
in;w
result;wyniku
explosion;wybuchu
with;z
window;okien
fell out;powypadały
window;szyby
evacuated;ewakuowano
people;ludzi
with;z
neighboring;sąsiednich
buildings;budynków
heard;usłyszeliśmy
powerful;silny
explosion;wybuch
in;w
result;wyniku
explosion;eksplozji
died;zginęły
three;trzy
persons;osoby
this;to
miracle;cud
that;że
no one;nikt
no;nie
killed;zginął
bench;lawa
drained;spływała
after;po
slope;zboczu
cloud;chmura
ash;popiołu
volcanic;wulkanicznego
in;w
fire;pożarze
he lost;stracił
two;dwóch
brothers;braci
about;około
60;60
firefighters;strażaków
fought;walczyło
with;z
fire / fire;pożarem/ogniem
takes;trwa
fixing;ustalanie
causes;przyczyny
fire;pożaru
House;dom
left;został
destroyed;zniszczony
through;przez
fire;ogień
flames;płomienie
consumed;strawiły
about;około
750;750
hectares;hektarów
forest;lasu
House;dom
standing;stoi
in;w
fire;płomieniach
firefighters;strażacy
fight;walczą
with;z
fire;pożarem
forest;lasu
whether;czy
Shell we;możemy
predict;przewidzieć
earthquake;trzęsienia
earth;ziemi
predict;przewidzieć
where;gdzie
and;i
when;kiedy
will;nastąpi
earthquake;trzęsienie
earth;ziemi
earthquake;trzęsienie
earth;ziemi
destroyed;zniszczyło
city;miasto
shakes;wstrząsy
secondary;wtórne
there;występują
What;co
15-20;15-20
minutes;minut
first;pierwszy
shock;wstrząs
It was;był
really;naprawdę
powerful;silny
people;ludzie
on;na
the streets;ulicach
they fell;upadali
Earth;ziemia
She began;zaczęła
himself;się
shake;trząść
epicenter;epicentrum
was;znajdowało
himself;się
only;tylko
15;15
km;km
from;od
center;centrum
capital;stolicy
I have seen;widziałem
dilapidated;walące
himself;się
buildings;budynki
shock;wstrząs
It was;był
perceptible;odczuwalny
on;na
complex;terenie
whole;całego
country;kraju
rescuers;ratownicy
drew;wyciągnęli
boy;chłopca
bottom;spod
rubble;gruzów
hundreds of;setki
people;osób
are;są
trapped;uwięzione
under;pod
the rubble;gruzami
earthquake;trzęsienia
earth;ziemi
are;są
normal;normalnym
phenomenon;zjawiskiem
in;w
iran;iranie
buildings;budynki
swayed;kołysały
himself;się
torrential;ulewne
rains;deszcze
provoked;wywołały
floods;powodzie
firefighters;strażacy
through;przez
whole;całą
night;noc
They are pumping water;wypompowywali
water;wodę
with;z
houses;domów
main;główne
expensive;drogi
left;zostały
flooded;zalane
more than;ponad
65000;65000
people;osób
was;zostało
evacuated;ewakuowanych
water;woda
She began;zaczęła
fall;opadać
river;rzeki
shed;wylały
with;z
shores;brzegów
level;poziom
water;wody
increased;wzrósł
about;o
four;cztery
meters;metry
in;w
within;ciągu
three;trzech
hours;godzin
sappers;saperzy
they blew up;wysadzili
shaft;wał
creating;tworząc
50-meter;50-metrową
gap;wyrwę
water;wody
fallen;opadły
journey;podróż
down;do
flooded;zalanych
Peruvian;peruwiańskich
village;wsi
rains;deszcze
wiped out;zmiotły
bridge;most
swollen;wezbrana
water;woda
flipped;przewracała
cars;samochody
water;woda
kidnapped;porwała
cars;samochody
fire;pożar
slipped out;wymknął
himself;się
bottom;spod
inspection;kontroli
more than;ponad
300;300
convicted;skazanych
killed;zginęło
in;w
fire;pożarze
prisons;więzienia
flames;płomienie
raged;szalały
through;przez
about;około
hour;godzinę
dozens;dziesiątki
people;ludzi
rozszabrowały;rozszabrowały
supermarket;supermarket
this;to
it was;było
the strongest;najsilniejsze
earthquake;trzęsienie
earth;ziemi
from;od
more than;ponad
50;50
years;lat
earthquake;trzęsienie
earth;ziemi
it was;było
felt;odczuwalne
in;w
All;całym
region;regionie
three;trzy
persons;osoby
can;mogą
be;być
trapped;uwięzione
under;pod
the rubble;gruzami
sea;morze
stormed;wdarło
himself;się
on;na
beach;plażę
water;woda
she went;podeszła
high;wysoko
Sun;słońce
happened;zaszło
Bay;zatoka
was;była
smooth;gładka
how;jak
mirror;lustro
Sun;słońce
again;znów
stood up;wstało
about;około
seventh;siódmej
we stood;stanęliśmy
on;na
summit;szczycie
hill;wzgórza
in;w
bearing;łożysku
river;rzeki
There were;leżały
stones;kamienie
and;i
boulders;głazy
flap;pola
former;były
green;zielone
at;przy
shore;brzegu
I have seen;widziałem
deep;głębokie
pond;sadzawki
after;po
both;obu
sides;stronach
stretched;rozpościerała
himself;się
plain;równina
trees;drzewa
mulberry;morwowe
constant;stały
naked;nagie
and;a
flap;pola
former;były
bure;bure
way;droga
through;przez
more;dłuższy
time;czas
ran;biegła
valley;doliną
Sun;słońce
already;już
happened;zaszło
in;w
the air;powietrzu
rozsnuła;rozsnuła
himself;się
fog;mgła
through;przez
whole;całą
night;noc
storm;sztorm
took on;przybierał
on;na
strength;sile
wind;wiatr
gave;dął
most;najsilniej
about;około
fifth;piątej
morning;rano
storm;burza
caused;wyrządziła
a lot;dużo
damage;szkód
wind;wiatr
took;nabrał
on;na
strength;sile
wind;wiatr
odwiał;odwiał
smoke;dym
day;dnia
fast;szybko
were coming;przybywało
morning;ranek
It was;był
sunny;pogodny
no;nie
felt;czuło
himself;się
that;że
coming;nadciąga
storm;burza
I noticed;zauważyłem
cloud;chmurę
eject;wysuwającą
himself;się
from behind;zza
mountains;gór
Sun;słońce
pożółkło;pożółkło
and;i
zmatowiało;zmatowiało
sky;niebo
himself;się
enlisted;zaciągnęło
it was;było
heat;ciepło
and;i
wiosennie;wiosennie
I saw;zobaczyłem
Sun;słońce
coming;wpadające
through;przez
window;okno
on;na
court;dworze
It was;był
beautiful;piękny
spring;wiosenny
morning;poranek
in;w
mountains;górach
fell;padały
rains;deszcze
it was;było
cold;zimno
and;i
drops;krople
hung;zwisały
with;z
branches;gałęzi
again;znowu
started;zaczęło
rain;padać
night;noc
He did;robiła
himself;się
cool;chłodna
rain;deszcz
He stopped;przestał
rain;padać
rain;deszcz
persisted;ustawał
